school_code,school_name,school_inep,address,latitude,longitude,coordinate_status
1,Escola Classe Dom Bosco,53068220,"São Sebastião, Brasília-DF",-15.9359,-47.7428,PROVISÓRIA — validar antes da publicação
2,CED São Bartolomeu,53014880,"Quadra 2, Conjunto 3, Lote 4, São Bartolomeu, São Sebastião-DF",-15.9073,-47.7585,PROVISÓRIA — validar antes da publicação
3,Escola Classe Cerâmica da Bênção,53009770,"Área rural/Papuda, São Sebastião-DF",-15.9478,-47.7086,PROVISÓRIA — validar antes da publicação
4,CEF Miguel Arcanjo,53068211,"Avenida São Bartolomeu, Área Especial 3, São Sebastião-DF",-15.9087,-47.7544,PROVISÓRIA — validar antes da publicação
5,Escola Classe São Bartolomeu,53012178,"Núcleo Rural São Bartolomeu, km 2, São Sebastião-DF",-15.961,-47.719,PROVISÓRIA — validar antes da publicação
6,Escola Classe 104 de São Sebastião,53013484,"Quadra 104, Conjunto 1, Lote 1, Residencial Oeste, São Sebastião-DF",-15.9027,-47.7736,PROVISÓRIA — validar antes da publicação
7,Centro Educacional São José,53011988,"Quadra 16, Área Especial, Bairro São José, São Sebastião-DF",-15.9148,-47.7675,PROVISÓRIA — validar antes da publicação
